epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,196.141,0.29887,1,1,0.31355,0.000233143,0.000233143,0.000233143
2,311.809,0.00102,1,1,0.31332,0.000447821,0.000447821,0.000447821
3,425.864,0.00013,1,1,0.3133,0.000638938,0.000638938,0.000638938
4,541.489,6e-05,1,1,0.31328,0.000607971,0.000607971,0.000607971
5,652.656,4e-05,1,1,0.31328,0.000572628,0.000572628,0.000572628
6,760.907,3e-05,1,1,0.31328,0.000537285,0.000537285,0.000537285
7,868.61,3e-05,1,1,0.31328,0.000501942,0.000501942,0.000501942
8,977.208,3e-05,1,1,0.31328,0.000466599,0.000466599,0.000466599
9,1085.12,3e-05,1,1,0.31327,0.000431256,0.000431256,0.000431256
10,1192.75,2e-05,1,1,0.31327,0.000395913,0.000395913,0.000395913
11,1299.97,2e-05,1,1,0.31327,0.00036057,0.00036057,0.00036057
12,1406.74,2e-05,1,1,0.31327,0.000325227,0.000325227,0.000325227
13,1513.48,2e-05,1,1,0.31327,0.000289884,0.000289884,0.000289884
14,1620.4,2e-05,1,1,0.31327,0.000254541,0.000254541,0.000254541
15,1729.64,2e-05,1,1,0.31327,0.000219198,0.000219198,0.000219198
16,1839.32,2e-05,1,1,0.31327,0.000183855,0.000183855,0.000183855
17,1946.73,2e-05,1,1,0.31327,0.000148512,0.000148512,0.000148512
18,2055.42,2e-05,1,1,0.31327,0.000113169,0.000113169,0.000113169
19,2163.2,2e-05,1,1,0.31327,7.7826e-05,7.7826e-05,7.7826e-05
20,2269.03,2e-05,1,1,0.31327,4.2483e-05,4.2483e-05,4.2483e-05
